,0,1
0,[3],1510777528.175639
1,[1],1510777529.29421
2,[1],1510777529.895118
3,[1],1510777530.475088
4,[1],1510777531.203478
5,[1],1510777531.855839
6,[1],1510777532.45142
7,[1],1510777532.990665
8,[1],1510777533.521155
9,[2],1510777534.068947
10,[1],1510777534.780379
11,[1],1510777535.320288
12,[2],1510777535.967694
13,[2],1510777536.679734
14,[1],1510777537.353936
15,[1],1510777538.041494
16,[1],1510777538.641987
17,[1],1510777539.374313
18,[1],1510777540.043701
19,[1],1510777540.712754
20,[1],1510777541.444066
21,[1],1510777542.104483
22,[1],1510777542.81268
23,[1],1510777543.445306
24,[2],1510777544.090463
25,[1],1510777544.642534
26,[1],1510777545.31785
27,[1],1510777545.852597
28,[1],1510777546.474875
29,[1],1510777547.097824
30,[1],1510777547.689354
31,[2],1510777548.408867
32,[1],1510777549.093863
33,[1],1510777549.708065
34,[1],1510777550.278013
35,[1],1510777550.970358
36,[1],1510777551.605377
37,[1],1510777552.182501
38,[1],1510777552.714806
39,[1],1510777553.365183
40,[1],1510777553.933233
41,[1],1510777554.489522
42,[2],1510777555.196277
43,[1],1510777555.897231
44,[1],1510777556.500414
45,[1],1510777557.085817
46,[1],1510777557.68979
47,[1],1510777558.401166
48,[1],1510777558.954491
49,[1],1510777559.596622
50,[1],1510777560.301914
51,[1],1510777560.914158
52,[2],1510777561.525094
53,[1],1510777562.226785
54,[1],1510777562.894213
55,[1],1510777563.442723
56,[1],1510777564.14711
57,[1],1510777564.755411
58,[1],1510777565.429905
59,[1],1510777566.094151
60,[1],1510777566.799606
61,[1],1510777567.524719
62,[1],1510777568.202346
63,[1],1510777568.739802
64,[2],1510777569.41415
65,[1],1510777570.081737
66,[1],1510777570.716686
67,[1],1510777571.409826
68,[1],1510777572.0541
69,[1],1510777572.746715
70,[1],1510777573.460517
71,[1],1510777574.1546
72,[1],1510777574.746193
73,[1],1510777575.394533
74,[1],1510777575.975779
75,[1],1510777576.666031
76,[2],1510777577.305976
77,[1],1510777578.021439
78,[1],1510777578.581019
79,[1],1510777579.176394
80,[1],1510777579.908407
81,[2],1510777580.500555
82,[1],1510777581.168098
83,[1],1510777581.880136
84,[1],1510777582.556951
85,[1],1510777583.239968
86,[1],1510777583.790876
87,[1],1510777584.487925
88,[1],1510777585.129843
89,[1],1510777585.695063
90,[1],1510777586.296248
91,[1],1510777586.979929
92,[1],1510777587.605998
93,[1],1510777588.305121
94,[1],1510777588.869166
95,[2],1510777589.457085
96,[1],1510777590.114747
97,[1],1510777590.749974
98,[1],1510777591.440759
99,[1],1510777592.097392
100,[1],1510777592.802014
101,[1],1510777593.379625
102,[1],1510777594.040246
103,[2],1510777594.57219
104,[1],1510777595.15817
105,[1],1510777595.816579
106,[1],1510777596.535392
107,[1],1510777597.163318
108,[1],1510777597.832646
109,[2],1510777598.465014
110,[1],1510777599.051311
111,[1],1510777599.681135
112,[1],1510777600.285085
113,[2],1510777600.907395
114,[2],1510777601.461155
115,[1],1510777602.115253
116,[1],1510777602.739578
117,[1],1510777603.448573
118,[1],1510777604.015583
119,[1],1510777604.6738
120,[2],1510777605.303851
121,[1],1510777605.8823
122,[1],1510777606.551366
123,[1],1510777607.20519
124,[2],1510777607.781619
125,[1],1510777608.325908
126,[1],1510777608.888372
127,[2],1510777609.531022
128,[2],1510777610.074878
129,[1],1510777610.689671
130,[1],1510777611.407482
131,[1],1510777612.05419
132,[1],1510777612.674191
133,[1],1510777613.236458
134,[1],1510777613.961957
135,[1],1510777614.607657
136,[1],1510777615.265687
137,[2],1510777615.979733
138,[1],1510777616.554999
139,[1],1510777617.104955
140,[2],1510777617.632594
141,[1],1510777618.184745
142,[1],1510777618.810582
143,[2],1510777619.445635
144,[1],1510777620.045297
145,[1],1510777620.674718
146,[1],1510777621.340812
147,[1],1510777621.974645
148,[1],1510777622.648103
149,[1],1510777623.35634
150,[1],1510777623.944677
151,[1],1510777624.528745
152,[1],1510777625.238258
153,[1],1510777625.934408
154,[1],1510777626.54242
155,[1],1510777627.190559
156,[1],1510777627.835411
157,[2],1510777628.468437
158,[1],1510777629.197571
159,[1],1510777629.912145
160,[1],1510777630.494522
161,[1],1510777631.056602
162,[1],1510777631.62727
163,[1],1510777632.193268
164,[1],1510777632.864806
165,[1],1510777633.473533
166,[1],1510777634.109281
167,[1],1510777634.650337
168,[2],1510777635.358593
169,[1],1510777636.084992
170,[1],1510777636.732683
171,[1],1510777637.278242
172,[1],1510777637.869128
173,[1],1510777638.598294
174,[1],1510777639.293036
175,[1],1510777639.989735
176,[1],1510777640.665805
177,[2],1510777641.354807
178,[1],1510777642.040119
179,[1],1510777642.718128
180,[1],1510777643.440849
181,[1],1510777644.039466
182,[1],1510777644.623462
183,[1],1510777645.255125
184,[1],1510777645.893368
185,[1],1510777646.507281
186,[2],1510777647.089852
